age,pos,Matches Played,total_minutes,Goals,Assists,Non Penalty Goals,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,Interceptions,Clearances,Passes Completed,Pass completion %,Key passes,Take ons attempted,% Successful take-ons,Total Shots,Shots p 90,Goals per shot,Shot creating actions p 90,Goal creating actions p 90,% Aerial Duels won,% Dribbles tackled,Shots blocked,Passes blocked,Errors made,touches_def_pen,Possessions lost,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,market_value_in_eur,player,season,predicted_value,actual_value,value_gap,value_gap_pct
29,MF,31,2593,1,4,1,1.0,1.0,15,203,0.03,0.14,88,48,51,15,2031,90.3,24,23,78.3,5,0.1,0.2,2.08,0.35,65.4,0.0,10,27,1,44,22,0,0.0,0,0.0,0,0.0,0.0,80000000.0,Sergio Busquets,2017-2018,23107533.642421357,80000000.0,-56892466.35757864,-71.1155829469733
22,MF,33,2104,3,2,3,3.7,3.7,75,152,0.13,0.09,32,19,15,16,1280,82.6,56,56,42.9,60,0.64,0.05,4.92,0.3,37.5,32.0,2,35,1,36,27,0,0.0,0,0.0,0,0.0,0.0,75000000.0,Dominik Szoboszlai,2023-2024,19174695.077095047,75000000.0,-55825304.92290495,-74.4337398972066
25,FW,11,443,3,0,3,2.3,2.3,10,19,0.61,0.0,5,4,2,4,159,86.9,3,8,25.0,16,1.42,0.19,2.65,0.2,62.5,50.0,1,3,0,5,8,0,0.0,0,0.0,0,0.0,0.0,65000000.0,Christopher Nkunku,2023-2024,9803686.825634105,65000000.0,-55196313.17436589,-84.91740488363983
22,DF,14,1117,1,0,1,0.8,0.8,19,36,0.08,0.0,35,25,14,49,448,80.4,3,10,60.0,5,0.08,0.2,0.81,0.0,61.8,85.0,9,8,0,52,6,0,0.0,0,0.0,0,0.0,0.0,70000000.0,Lucas Hernández,2018-2019,15446342.635072071,70000000.0,-54553657.36492793,-77.93379623561133
26,FW,34,2422,12,4,10,7.7,6.2,201,218,0.45,0.15,6,3,3,0,1168,81.1,83,200,82.5,69,1.26,0.14,7.61,0.71,29.6,0.0,0,11,0,1,77,0,0.0,0,0.0,0,0.0,0.0,110000000.0,Eden Hazard,2017-2018,55575779.58447192,110000000.0,-54424220.41552808,-49.476564014116434
28,MF,22,1732,3,0,3,1.4,1.4,41,132,0.16,0.0,44,20,44,32,975,83.6,27,38,63.2,18,0.31,0.17,3.17,0.1,36.0,47.2,5,24,2,49,29,0,0.0,0,0.0,0,0.0,0.0,80000000.0,N'Golo Kanté,2019-2020,25793512.676895868,80000000.0,-54206487.32310413,-67.75810915388017
26,GK,35,3150,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,2,5,930,85.8,0,1,100.0,0,0.0,0.0,0.17,0.09,100.0,0.0,0,0,2,1005,0,32,0.91,85,73.3,16,45.7,0.0,90000000.0,Marc-André ter Stegen,2018-2019,36704061.98100145,90000000.0,-53295938.01899855,-59.21770890999839
20,DF,22,1740,0,3,0,1.3,1.3,113,98,0.0,0.16,34,17,23,26,1106,83.7,34,125,64.0,18,0.31,0.0,3.62,0.21,39.3,41.9,1,26,1,45,24,0,0.0,0,0.0,0,0.0,0.0,70000000.0,Alphonso Davies,2021-2022,17259921.758587405,70000000.0,-52740078.241412595,-75.3429689163037
21,MF,35,2866,1,3,1,0.4,0.4,27,173,0.03,0.09,91,46,37,44,1907,90.0,23,56,46.4,13,0.13,0.08,2.07,0.38,49.2,60.0,25,34,4,122,24,0,0.0,0,0.0,0,0.0,0.0,75000000.0,Moisés Caicedo,2023-2024,22322415.42431009,75000000.0,-52677584.57568991,-70.23677943425322
21,FW,28,2128,9,5,9,9.4,9.4,71,98,0.38,0.21,16,8,11,5,881,79.9,40,58,63.8,57,0.93,0.16,3.76,0.55,15.6,41.2,0,9,0,6,34,0,0.0,0,0.0,0,0.0,0.0,90000000.0,Phil Foden,2021-2022,37518721.1049467,90000000.0,-52481278.8950533,-58.31253210561478
23,MF,33,2925,4,1,4,5.0,4.1,56,120,0.12,0.03,83,56,42,86,1232,76.1,15,52,65.4,51,0.58,0.08,1.42,0.22,60.8,39.5,10,47,1,97,32,0,0.0,0,0.0,0,0.0,0.0,90000000.0,Saúl Ñíguez,2018-2019,38155303.756856896,90000000.0,-51844696.243143104,-57.60521804793678
20,FW,38,3181,14,11,12,11.2,9.1,179,109,0.4,0.31,63,34,14,19,1054,73.7,75,161,37.9,86,0.82,0.14,4.56,0.79,29.6,45.5,0,38,0,21,59,0,0.0,0,0.0,0,0.0,0.0,120000000.0,Bukayo Saka,2022-2023,69087325.4167884,120000000.0,-50912674.5832116,-42.427228819343
18,FW,10,336,4,0,4,1.3,1.3,20,9,1.07,0.0,3,2,1,0,133,83.1,2,14,28.6,18,2.14,0.22,2.68,0.8,25.0,100.0,0,4,0,0,2,0,0.0,0,0.0,0,0.0,0.0,60000000.0,Ansu Fati,2021-2022,9619207.283551455,60000000.0,-50380792.716448545,-83.96798786074757
19,FW,27,1745,6,1,6,7.6,7.6,43,51,0.31,0.05,9,3,10,4,405,76.4,15,55,36.4,64,0.93,0.09,2.85,0.21,27.4,28.6,0,4,1,8,23,0,0.0,0,0.0,0,0.0,0.0,81000000.0,João Félix,2019-2020,30753603.033044875,81000000.0,-50246396.966955125,-62.03258884809275
23,DF,21,1772,0,0,0,1.2,1.2,4,29,0.0,0.0,26,15,44,128,585,79.7,3,8,87.5,15,0.15,0.0,0.56,0.0,68.8,50.0,14,13,2,153,2,0,0.0,0,0.0,0,0.0,0.0,70000000.0,José María Giménez,2018-2019,19795714.32048669,70000000.0,-50204285.679513305,-71.72040811359044
19,FW,17,1090,1,6,1,0.8,0.8,36,80,0.08,0.5,18,10,1,6,473,74.6,39,85,56.5,7,0.33,0.14,5.28,0.66,14.3,50.0,1,14,0,6,28,0,0.0,0,0.0,0,0.0,0.0,85000000.0,Florian Wirtz,2022-2023,34848313.67808013,85000000.0,-50151686.32191987,-59.00198390814103
22,FW,31,1867,10,10,10,6.7,6.7,84,67,0.48,0.48,24,15,8,2,735,77.0,40,102,53.9,56,1.16,0.18,4.2,0.72,30.3,8.7,2,19,0,7,44,0,0.0,0,0.0,0,0.0,0.0,100000000.0,Leroy Sané,2018-2019,50315233.316771485,100000000.0,-49684766.683228515,-49.68476668322852
21,DF,6,267,1,1,1,0.3,0.3,12,21,0.34,0.34,5,5,4,2,183,82.4,3,10,60.0,4,0.34,0.25,2.36,0.67,75.0,57.1,0,4,0,5,3,0,0.0,0,0.0,0,0.0,0.0,55000000.0,Nuno Mendes,2023-2024,5387591.718370678,55000000.0,-49612408.281629324,-90.2043786938715
20,MF,31,1817,0,2,0,0.9,0.9,49,106,0.0,0.1,76,47,29,29,1205,90.7,20,69,52.2,17,0.35,0.0,2.87,0.3,51.4,59.0,8,28,1,55,24,0,0.0,0,0.0,0,0.0,0.0,100000000.0,Eduardo Camavinga,2023-2024,50544069.291718334,100000000.0,-49455930.708281666,-49.45593070828166
28,DF,38,3420,5,1,5,2.9,2.9,21,170,0.13,0.03,23,12,40,166,2919,89.1,7,4,75.0,31,0.37,0.16,0.92,0.18,77.0,46.2,15,5,2,315,2,0,0.0,0,0.0,0,0.0,0.0,80000000.0,Virgil van Dijk,2019-2020,31066965.62754783,80000000.0,-48933034.37245217,-61.16629296556522
22,MF,25,1825,5,3,5,4.8,4.8,48,111,0.25,0.15,33,19,19,20,836,79.2,27,54,53.7,39,0.94,0.13,3.16,0.25,50.0,20.8,5,28,0,32,29,0,0.0,0,0.0,0,0.0,0.0,90000000.0,Dele Alli,2018-2019,41120706.16226447,90000000.0,-48879293.83773553,-54.310326486372816
25,FW,37,2763,15,7,14,10.7,9.9,91,136,0.49,0.23,65,50,18,10,869,70.5,57,73,67.1,83,1.17,0.17,4.33,0.42,26.0,0.0,2,38,0,11,71,0,0.0,0,0.0,0,0.0,0.0,80000000.0,Roberto Firmino,2017-2018,31345782.00622527,80000000.0,-48654217.99377473,-60.81777249221842
25,MF,37,2904,2,7,2,3.5,3.5,104,231,0.06,0.22,47,34,43,40,1901,89.8,49,44,50.0,56,0.56,0.04,3.69,0.43,67.7,57.1,2,37,0,77,12,0,0.0,0,0.0,0,0.0,0.0,120000000.0,Federico Valverde,2023-2024,71607376.40544681,120000000.0,-48392623.59455319,-40.327186328794326
24,GK,37,3330,0,0,0,0.0,0.0,0,0,0.0,0.0,1,0,2,22,1090,82.4,1,6,100.0,0,0.0,0.0,0.14,0.03,100.0,0.0,0,0,4,1143,0,0,0.0,0,0.0,0,0.0,0.0,60000000.0,Alisson,2017-2018,11658807.068728598,60000000.0,-48341192.931271404,-80.56865488545235
26,DF,30,2559,0,0,0,1.4,1.4,34,173,0.0,0.0,39,20,30,77,2469,93.7,7,1,0.0,20,0.28,0.0,1.23,0.14,52.8,73.1,17,15,0,231,7,0,0.0,0,0.0,0,0.0,0.0,80000000.0,Rúben Dias,2023-2024,33488601.761104375,80000000.0,-46511398.238895625,-58.13924779861953
25,MF,35,2613,6,6,6,3.2,3.2,76,214,0.21,0.21,49,25,12,12,1306,81.6,55,70,57.1,33,0.45,0.18,4.17,0.45,57.1,52.8,5,24,0,43,39,0,0.0,0,0.0,0,0.0,0.0,75000000.0,Nicolò Barella,2022-2023,28621606.749707762,75000000.0,-46378393.25029224,-61.83785766705632
20,FW,26,2062,8,11,7,6.6,5.8,114,178,0.35,0.48,18,11,16,9,1139,78.0,67,138,55.8,51,0.7,0.14,5.46,0.83,25.0,43.8,1,19,0,15,35,0,0.0,0,0.0,0,0.0,0.0,100000000.0,Jadon Sancho,2020-2021,53673535.23195748,100000000.0,-46326464.76804252,-46.32646476804252
20,FW,29,1668,13,3,13,13.8,12.2,28,49,0.7,0.16,23,15,8,6,474,79.5,18,37,64.9,54,1.62,0.24,3.29,0.76,32.3,0.0,0,16,0,3,26,0,0.0,0,0.0,0,0.0,0.0,80000000.0,Gabriel Jesus,2017-2018,33960493.79228146,80000000.0,-46039506.20771854,-57.54938275964818
24,MF,38,3225,7,8,7,3.3,3.3,75,278,0.2,0.22,83,51,44,52,2041,88.9,47,46,45.7,58,0.56,0.12,2.79,0.33,47.6,56.1,11,26,0,100,22,0,0.0,0,0.0,0,0.0,0.0,120000000.0,Declan Rice,2023-2024,74161661.56191908,120000000.0,-45838338.43808092,-38.19861536506743
