age,pos,Matches Played,total_minutes,Goals,Assists,Non Penalty Goals,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,Interceptions,Clearances,Passes Completed,Pass completion %,Key passes,Take ons attempted,% Successful take-ons,Total Shots,Shots p 90,Goals per shot,Shot creating actions p 90,Goal creating actions p 90,% Aerial Duels won,% Dribbles tackled,Shots blocked,Passes blocked,Errors made,touches_def_pen,Possessions lost,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,market_value_in_eur,player,season,predicted_value,actual_value,value_gap,value_gap_pct
27,MF,38,2819,4,6,4,2.2,2.2,100,216,0.13,0.19,61,29,16,11,1639,79.8,46,82,51.2,22,0.26,0.18,3.19,0.38,38.2,30.5,4,28,0,26,17,0,0.0,0,0.0,0,0.0,0.0,10000000.0,Denis Suárez,2021-2022,25278187.63635931,10000000.0,15278187.636359312,152.7818763635931
21,MF,26,1830,3,5,3,3.9,3.9,93,138,0.15,0.25,19,15,7,10,997,85.1,36,52,69.2,45,1.08,0.07,4.03,0.59,17.6,0.0,1,18,1,16,31,0,0.0,0,0.0,0,0.0,0.0,15000000.0,Alex Iwobi,2017-2018,30257979.88262045,15000000.0,15257979.88262045,101.71986588413633
27,MF,36,3163,7,5,7,2.9,2.9,71,305,0.2,0.14,85,57,75,35,2229,86.2,34,39,76.9,35,0.31,0.2,2.99,0.46,59.0,0.0,8,36,0,89,24,0,0.0,0,0.0,0,0.0,0.0,20000000.0,Asier Illarramendi,2017-2018,34717598.53186076,20000000.0,14717598.531860761,73.58799265930381
26,FW,36,3115,14,7,11,15.2,12.8,79,102,0.4,0.2,34,20,4,7,716,58.9,57,94,57.4,116,0.95,0.09,3.29,0.26,44.4,23.5,7,21,0,11,64,0,0.0,0,0.0,0,0.0,0.0,12500000.0,Andy Delort,2018-2019,27135739.509448864,12500000.0,14635739.509448864,117.08591607559092
27,MF,23,1993,4,3,3,5.9,3.5,91,179,0.18,0.14,36,25,11,2,1271,81.6,63,99,65.7,36,0.59,0.08,5.69,0.41,29.6,0.0,0,21,0,7,54,0,0.0,0,0.0,0,0.0,0.0,8000000.0,Jonathan Viera,2017-2018,22300149.800712805,8000000.0,14300149.800712805,178.75187250891008
28,GK,38,3413,0,0,0,0.0,0.0,0,0,0.0,0.0,1,0,0,15,1061,80.2,1,1,100.0,0,0.0,0.0,0.18,0.03,75.0,0.0,0,0,1,1206,0,30,0.79,99,77.3,21,56.8,0.0,12000000.0,Ivan Provedel,2022-2023,25796482.109080274,12000000.0,13796482.109080274,114.97068424233561
29,MF,33,2360,1,2,1,2.9,2.9,38,120,0.04,0.08,61,30,31,38,1339,90.0,20,17,47.1,36,0.34,0.03,1.94,0.11,56.1,62.0,11,19,0,94,14,0,0.0,0,0.0,0,0.0,0.0,3000000.0,Roberto Gagliardini,2023-2024,16628345.646683127,3000000.0,13628345.646683127,454.27818822277095
30,DF,33,2410,2,0,2,2.3,2.3,26,154,0.07,0.0,32,17,36,59,1950,94.3,4,15,66.7,22,0.19,0.09,0.86,0.07,60.7,73.1,19,7,1,193,10,0,0.0,0,0.0,0,0.0,0.0,10000000.0,Danilo Pereira,2022-2023,23476073.66767311,10000000.0,13476073.667673111,134.7607366767311
24,MF,25,2118,1,7,1,2.4,2.4,42,179,0.04,0.3,63,35,31,19,1204,82.1,54,41,65.9,33,0.42,0.03,4.59,0.42,26.7,44.8,5,27,1,39,25,0,0.0,0,0.0,0,0.0,0.0,5000000.0,Kevin Stöger,2018-2019,18188123.709231034,5000000.0,13188123.709231034,263.7624741846207
27,MF,25,1684,6,3,6,3.0,3.0,38,84,0.32,0.16,13,11,9,2,682,76.9,43,24,58.3,46,1.07,0.13,4.01,0.53,36.4,25.0,1,8,0,6,24,0,0.0,0,0.0,0,0.0,0.0,7000000.0,Florent Mollet,2019-2020,20082954.17251244,7000000.0,13082954.172512438,186.89934532160626
23,MF,37,3102,10,7,7,8.8,6.5,63,170,0.29,0.2,55,30,45,29,1291,72.2,95,48,47.9,63,0.7,0.11,4.29,0.35,18.8,0.0,4,44,0,38,38,0,0.0,0,0.0,0,0.0,0.0,12000000.0,Benjamin Bourigeaud,2017-2018,25041719.88779463,12000000.0,13041719.887794629,108.68099906495523
30,FW,31,2145,12,7,12,10.6,9.9,155,181,0.5,0.29,15,7,5,2,999,77.1,64,133,58.6,100,1.55,0.12,7.05,0.92,17.4,25.0,1,19,0,4,76,0,0.0,0,0.0,0,0.0,0.0,17000000.0,Josip Iličić,2018-2019,29923238.196134828,17000000.0,12923238.196134828,76.01904821255782
23,DF,34,3010,0,1,0,1.3,1.3,30,148,0.0,0.03,63,38,31,105,1576,86.5,9,4,50.0,13,0.09,0.0,0.72,0.12,64.3,66.7,22,12,2,194,1,0,0.0,0,0.0,0,0.0,0.0,8000000.0,Santiago Bueno,2022-2023,20848463.36666979,8000000.0,12848463.366669789,160.60579208337236
26,DF,32,2596,1,1,1,2.4,2.4,42,179,0.03,0.03,65,41,55,116,1599,87.0,12,31,48.4,32,0.17,0.03,1.63,0.03,58.4,68.8,25,22,1,237,23,0,0.0,0,0.0,0,0.0,0.0,9000000.0,Emmanuel Agbadou,2023-2024,21653119.95414785,9000000.0,12653119.95414785,140.59022171275387
28,MF,23,2059,3,1,1,3.9,1.5,46,153,0.13,0.04,46,28,30,42,1346,87.3,22,27,70.4,17,0.35,0.06,1.92,0.17,47.2,51.5,12,18,0,69,30,0,0.0,0,0.0,0,0.0,0.0,5000000.0,Jonas Martin,2018-2019,17625985.802940875,5000000.0,12625985.802940875,252.51971605881752
21,MF,32,1633,2,1,2,2.0,2.0,50,110,0.11,0.06,39,22,26,13,782,86.0,18,56,46.4,26,0.22,0.08,2.59,0.22,44.8,27.5,1,18,0,19,33,0,0.0,0,0.0,0,0.0,0.0,3000000.0,Azzedine Ounahi,2021-2022,15491701.342954302,3000000.0,12491701.342954302,416.3900447651434
23,DF,37,3232,1,2,1,2.5,2.4,34,163,0.03,0.06,37,19,33,124,2103,90.0,10,37,51.4,24,0.11,0.04,1.14,0.14,71.9,63.3,34,14,0,246,17,0,0.0,0,0.0,0,0.0,0.0,22000000.0,Kevin Danso,2022-2023,34293352.040219806,22000000.0,12293352.040219806,55.878872910090024
24,MF,20,1772,7,3,2,6.5,2.6,24,156,0.36,0.15,17,11,19,16,1126,83.3,37,23,60.9,53,0.71,0.04,4.32,0.66,58.3,25.9,2,6,3,43,15,0,0.0,0,0.0,0,0.0,0.0,14500000.0,Wylan Cyprien,2019-2020,26752017.965142824,14500000.0,12252017.965142824,84.49667562167464
23,FW,31,1545,8,6,8,5.7,5.7,76,75,0.47,0.35,29,19,5,2,624,84.3,30,109,50.5,38,0.99,0.21,4.37,1.05,25.0,46.2,1,15,0,8,42,0,0.0,0,0.0,0,0.0,0.0,40000000.0,Brahim Díaz,2023-2024,51926865.58816625,40000000.0,11926865.588166252,29.817163970415628
24,FW,33,1884,5,2,4,3.6,2.9,93,83,0.24,0.1,36,14,7,13,552,78.4,24,106,47.2,43,0.62,0.09,3.77,0.43,23.1,54.5,2,27,0,16,29,0,0.0,0,0.0,0,0.0,0.0,4000000.0,Chris Führich,2022-2023,15816013.463312563,4000000.0,11816013.463312563,295.4003365828141
23,FW,34,2795,28,8,25,21.2,18.9,156,102,0.9,0.26,20,9,5,2,756,71.6,53,90,64.4,120,1.93,0.21,3.93,0.77,25.0,18.8,0,16,0,2,34,0,0.0,0,0.0,0,0.0,0.0,64000000.0,Timo Werner,2019-2020,75659267.83681978,64000000.0,11659267.836819783,18.21760599503091
22,DF,26,2276,3,1,3,2.2,2.2,13,63,0.12,0.04,46,27,42,78,1033,88.6,6,15,73.3,13,0.16,0.23,0.59,0.12,62.7,73.7,10,14,1,153,10,0,0.0,0,0.0,0,0.0,0.0,5000000.0,Harold Moukoudi,2020-2021,16507531.50445008,5000000.0,11507531.50445008,230.15063008900162
26,FW,28,1998,6,6,6,4.3,4.3,107,64,0.27,0.27,18,7,8,4,583,77.4,33,113,55.8,39,0.86,0.15,3.6,0.5,42.9,50.0,2,24,0,12,27,0,0.0,0,0.0,0,0.0,0.0,15000000.0,Jeremie Boga,2023-2024,26473242.839531567,15000000.0,11473242.839531567,76.48828559687712
27,MF,31,2389,8,4,8,6.2,6.2,43,151,0.3,0.15,64,31,29,16,991,75.9,33,55,56.4,48,0.72,0.17,3.35,0.49,34.8,32.3,4,52,1,26,34,0,0.0,0,0.0,0,0.0,0.0,9000000.0,Adrien Thomasson,2021-2022,20402325.81265574,9000000.0,11402325.81265574,126.69250902950822
24,FW,35,3041,16,5,15,13.9,12.3,93,117,0.47,0.15,15,9,8,21,817,78.0,30,102,66.7,106,1.24,0.14,3.52,0.56,27.6,0.0,3,11,0,26,61,0,0.0,0,0.0,0,0.0,0.0,18000000.0,Alassane Pléa,2017-2018,29309371.75562417,18000000.0,11309371.755624171,62.82984308680095
